Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Metrostation,subway,blue,white,,metrostation Waterlooplein,,Lijn 14 | 51 | 53 | 54,Waterlooplein,52.367349,4.902401
Metrostation,subway,blue,white,,metrostation Weesperplein,,Lijn 1 | 7 | 19 | 51 | 53 | 54,Weesperplein,52.361173,4.907978
Metrostation,subway,blue,white,,metrostation Wibautstraat,,Lijn 51 | 53 | 54,Wibautstraat,52.354333,4.912123
Metrostation,subway,blue,white,,metrostation Nieuwmarkt,,Lijn 51 | 53 | 54,Nieuwmarkt,52.37192,4.901301
Metrostation,subway,blue,white,,metrostation Amstelstation,,Lijn 12 | 51 | 53 | 54,Amstelstation,52.346663,4.918297
Metrostation,subway,blue,white,,metrostation Van der Madeweg,,Lijn 50 | 53 | 54,Van der Madeweg,52.329678,4.9303
Metrostation,subway,blue,white,,metrostation Verrijn Stuartweg,,Lijn 53,Verrijn Stuartweg,52.328624,4.966759
Metrostation,subway,blue,white,,metrostation Station Ganzenhoef,,Lijn 53,Station Ganzenhoef,52.323631,4.973044
Metrostation,subway,blue,white,,metrostation Kraaiennest station,,Lijn 53,Kraaiennest station,52.316618,4.979454
Metrostation,subway,blue,white,,metrostation Gaasperplas,,Lijn 53,Gaasperplas,52.311035,4.984549
Metrostation,subway,blue,white,,metrostation Venserpolder,,Lijn 53,Venserpolder,52.326737,4.946229
Metrostation,subway,blue,white,,metrostation Station Diemen-Zuid,,Lijn 53,Station Diemen-Zuid,52.33027,4.956447
Metrostation,subway,blue,white,,metrostation Europaplein,,Lijn 4 | 52,Europaplein,52.340218,4.891987
Metrostation,subway,blue,white,,metrostation Noorderpark,,Lijn 52,Noorderpark,52.388902,4.918652
Metrostation,subway,blue,white,,metrostation Noord,,Lijn 52,Noord,52.401877,4.932229
Metrostation,subway,blue,white,,metrostation Rokin,,Lijn 4 | 14 | 24 | 52,Rokin,52.3698,4.892378
Metrostation,subway,blue,white,,metrostation Vijzelgracht,,Lijn 1 | 7 | 19 | 24 | 52,Vijzelgracht,52.359632,4.890943
Metrostation,subway,blue,white,,metrostation De Pijp,,Lijn 3 | 12 | 24 | 52,De Pijp,52.35279,4.891107
